Date_Epoch_Week,Num_Helpful,Num_Funny,Hours_Played,Recommend
2429,14.60344827586207,1.8275862068965518,0.09285505552308591,0.9482758620689655
2430,2.44,0.5466666666666666,0.11199623352165723,0.92
2431,1.4375,0.0,0.09401483050847456,0.8125
2432,3.6666666666666665,0.2222222222222222,0.11142498430634024,1.0
2433,0.5,0.0,0.10346045197740111,1.0
2434,3.5,0.3333333333333333,0.14077212806026365,1.0
2435,1.0,0.0,0.06299435028248587,1.0
2436,2.4,0.8,0.12853107344632766,0.8
2437,9.0,0.0,0.05790960451977401,0.0
2438,0.2,0.0,0.3203389830508474,1.0
2439,3.5,0.0,0.21257062146892655,0.6666666666666666
2440,1.0,0.0,0.17655367231638416,1.0
2441,3.0,0.0,0.24717514124293782,0.0
2442,2.0,0.5,0.16596045197740109,1.0
2446,0.4444444444444444,0.1111111111111111,0.06967984934086628,1.0
2447,1.1111111111111112,0.2222222222222222,0.07328939108600124,1.0
2448,12.0,0.0,0.13418079096045196,0.0
2451,17.8,0.2,0.1175141242937853,0.8
2452,2.8,0.0,0.10762711864406778,0.8
2453,4.5,0.0,0.07838983050847456,0.5
2454,2.5,0.0,0.03177966101694915,0.5
2455,2.0,0.0,0.09745762711864406,1.0
2456,6.0,0.0,0.050141242937853096,0.5
2457,4.5,0.0,0.08827683615819208,1.0
2458,0.0,0.0,0.07627118644067796,1.0
2459,0.0,0.0,0.03531073446327683,1.0
2460,5.0,0.0,0.0692090395480226,1.0
2461,1.6666666666666667,0.0,0.05649717514124294,0.8333333333333334
2462,2.6666666666666665,1.0,0.14124293785310735,1.0
2463,2.0,0.3333333333333333,0.1836158192090395,1.0
2464,3.0,0.0,0.4350282485875705,1.0
2465,0.0,0.0,0.10875706214689264,1.0
2467,4.0,0.0,0.15254237288135591,1.0
2469,9.5,1.0,0.14124293785310732,0.5
2470,2.0,0.0,0.06214689265536723,1.0
2471,6.0,0.0,0.12570621468926552,1.0
2472,0.0,0.0,0.24435028248587562,1.0
2473,16.0,7.5,0.08757062146892655,1.0
2474,6.0,3.0,0.015536723163841804,0.0
2475,1.0,0.0,0.22598870056497172,1.0
2477,11.4,1.0,0.08276836158192089,0.8
2478,0.0,0.0,0.10875706214689264,1.0
2479,4.666666666666667,0.3333333333333333,0.12099811676082861,1.0
2480,0.0,0.0,0.08898305084745761,1.0
