Date_Epoch,Num_Helpful,Num_Funny,Hours_Played,Recommend
0.0,15.0,0.0,0.12532981530343007,1.0
0.004048582995951417,4.0,0.0,0.0646437994722955,1.0
0.008097165991902834,40.0,1.0,0.09300791556728233,0.0
0.016194331983805668,6.0,2.0,0.22955145118733503,1.0
0.020242914979757085,0.8571428571428571,0.42857142857142855,0.5065963060686015,0.8571428571428571
0.02834008097165992,1.0,0.0,0.046174142480211074,1.0
0.03643724696356275,2.25,0.5,0.03825857519788918,1.0
0.048582995951417005,45.0,0.0,0.005277044854881266,0.0
0.10121457489878542,1.0,0.0,0.013192612137203165,0.0
0.10931174089068826,10.0,2.0,0.019788918205804747,0.0
0.12550607287449392,4.0,0.0,0.03825857519788917,1.0
0.2145748987854251,0.0,0.0,0.00395778364116095,1.0
0.3684210526315789,0.0,0.0,0.07651715039577836,1.0
0.3724696356275304,8.0,1.0,0.9036939313984168,0.0
0.4048582995951417,0.0,0.0,0.10817941952506596,1.0
0.4251012145748988,1.0,0.0,0.13984168865435354,1.0
0.5506072874493927,6.0,1.0,0.0013192612137203166,0.0
0.757085020242915,0.0,0.0,0.0633245382585752,1.0
0.8582995951417004,1.0,0.0,0.12928759894459102,1.0
0.9392712550607287,0.0,0.0,0.08311345646437994,1.0
1.0,0.0,0.0,0.39313984168865423,1.0
